month,dim,code,label,maker,count
202502,model,4381,벤츠 EQS SUV,벤츠,7
202502,model,4568,벤츠 EQA,벤츠,10
202502,model,4638,벤츠 EQG(G-Class EV),벤츠,7
202502,model,4571,미니 일렉트릭,미니,1
202502,model,4572,미니 컨트리맨 일렉트릭,미니,23
202502,model,4640,미니 에이스맨,미니,26
202502,model,4613,포르쉐 마칸 일렉트릭,포르쉐,87
202502,model,4619,포르쉐 타이칸,포르쉐,120
202502,model,4005,폭스바겐 ID.4,폭스바겐,375
202502,model,4121,폭스바겐 ID.5,폭스바겐,0
202502,model,3687,테슬라 모델Y,테슬라,2040
202502,model,4087,아이오닉6,현대,346
202502,model,4015,GV60,제네시스,16
202502,model,4046,BMW i4,BMW,1
202502,model,3983,BMW iX3,BMW,86
202502,model,4009,BMW iX,BMW,39
202502,model,4039,아우디 e-tron GT,아우디,8
202502,model,3667,아우디 e-tron,아우디,0
202502,model,4468,폴스타 2,폴스타,0
202502,model,4632,르노 세닉 E-Tech,르노,0
202502,model,4731,볼보 EX40,볼보,0
202502,model,4400,현대 카운티 일렉트릭,현대,22
202502,model,4048,벤츠 EQS,벤츠,0
202502,model,4634,벤츠 EQS,벤츠,0
202502,model,4511,벤츠 마이바흐 EQS SUV,벤츠,5
202502,model,4565,캐딜락 에스컬레이드 IQ,캐딜락,0
202502,model,4433,롤스로이스 스펙터,롤스로이스,1
202503,model,4647,EV3,기아,3032
202503,model,4712,EV4,기아,0
202503,model,4499,EV5,기아,0
202503,model,4641,EV6,기아,1163
202503,model,4128,EV9,기아,202
202503,model,4714,PV5,기아,0
202503,model,4691,레이 EV,기아,1209
202503,model,4404,봉고3 EV,기아,596
202503,model,4624,아이오닉5,현대,1090
202503,model,4558,아이오닉5 N,현대,39
202503,model,4746,아이오닉6,현대,0
202503,model,4088,아이오닉9,현대,784
202503,model,4653,캐스퍼 일렉트릭,현대,1185
202503,model,4399,포터2 일렉트릭,현대,986
202503,model,4510,코나 일렉트릭,현대,446
202503,model,4770,스타리아 일렉트릭,현대,0
202503,model,4660,Electrified G80,제네시스,217
202503,model,4705,Electrified GV70,제네시스,237
202503,model,4701,GV60,제네시스,6
202503,model,4761,GV60 MAGMA,제네시스,0
202503,model,4667,테슬라 모델Y,테슬라,11
202503,model,4610,테슬라 모델3,테슬라,2344
202503,model,4027,테슬라 모델X,테슬라,40
202503,model,4043,테슬라 모델S,테슬라,18
202503,model,3825,테슬라 사이버트럭,테슬라,0
202503,model,4704,BYD 돌핀,BYD,0
202503,model,4706,BYD 씨라이언7,BYD,0
202503,model,4702,BYD 아토3,BYD,10
202503,model,4703,BYD 씰,BYD,0
202503,model,4446,볼보 EX30,볼보,478
202503,model,4750,볼보 EX30 CC,볼보,0
202503,model,4513,폴스타 4,폴스타,307
202503,model,4062,아우디 Q4 e-tron,아우디,485
202503,model,4690,아우디 Q6 e-tron,아우디,35
202503,model,4142,아우디 A6 e-tron,아우디,0
202503,model,4436,아우디 Q8 e-tron,아우디,7
202503,model,4759,아우디 e-tron GT,아우디,0
202503,model,4528,BMW i5,BMW,169
202503,model,4639,BMW i4,BMW,2
202503,model,4181,BMW i7,BMW,60
202503,model,4708,BMW iX,BMW,0
202503,model,4372,BMW iX1,BMW,59
202503,model,4582,BMW iX2,BMW,2
202503,model,4751,BMW iX3,BMW,0
202503,model,4569,벤츠 EQB,벤츠,23
202503,model,4430,벤츠 EQE SUV,벤츠,79
202503,model,4111,벤츠 EQE,벤츠,53
202503,model,4381,벤츠 EQS SUV,벤츠,15
202503,model,4568,벤츠 EQA,벤츠,3
202503,model,4638,벤츠 EQG(G-Class EV),벤츠,1
202503,model,4571,미니 일렉트릭,미니,0
202503,model,4572,미니 컨트리맨 일렉트릭,미니,73
202503,model,4640,미니 에이스맨,미니,79
202503,model,4613,포르쉐 마칸 일렉트릭,포르쉐,131
202503,model,4619,포르쉐 타이칸,포르쉐,245
202503,model,4005,폭스바겐 ID.4,폭스바겐,407
202503,model,4121,폭스바겐 ID.5,폭스바겐,4
202503,model,3687,테슬라 모델Y,테슬라,178
202503,model,4087,아이오닉6,현대,558
202503,model,4015,GV60,제네시스,0
202503,model,4046,BMW i4,BMW,8
202503,model,3983,BMW iX3,BMW,138
202503,model,4009,BMW iX,BMW,77
202503,model,4039,아우디 e-tron GT,아우디,23
202503,model,3667,아우디 e-tron,아우디,0
202503,model,4468,폴스타 2,폴스타,0
202503,model,4632,르노 세닉 E-Tech,르노,0
202503,model,4731,볼보 EX40,볼보,0
202503,model,4400,현대 카운티 일렉트릭,현대,20
202503,model,4048,벤츠 EQS,벤츠,0
202503,model,4634,벤츠 EQS,벤츠,1
202503,model,4511,벤츠 마이바흐 EQS SUV,벤츠,13
202503,model,4565,캐딜락 에스컬레이드 IQ,캐딜락,0
202503,model,4433,롤스로이스 스펙터,롤스로이스,4
202504,model,4647,EV3,기아,3057
202504,model,4712,EV4,기아,831
202504,model,4499,EV5,기아,0
202504,model,4641,EV6,기아,789
202504,model,4128,EV9,기아,150
202504,model,4714,PV5,기아,0
202504,model,4691,레이 EV,기아,628
202504,model,4404,봉고3 EV,기아,340
202504,model,4624,아이오닉5,현대,1422
202504,model,4558,아이오닉5 N,현대,36
202504,model,4746,아이오닉6,현대,0
202504,model,4088,아이오닉9,현대,1009
202504,model,4653,캐스퍼 일렉트릭,현대,783
202504,model,4399,포터2 일렉트릭,현대,1081
202504,model,4510,코나 일렉트릭,현대,298
202504,model,4770,스타리아 일렉트릭,현대,0
202504,model,4660,Electrified G80,제네시스,119
202504,model,4705,Electrified GV70,제네시스,128
202504,model,4701,GV60,제네시스,147
202504,model,4761,GV60 MAGMA,제네시스,0
202504,model,4667,테슬라 모델Y,테슬라,804
202504,model,4610,테슬라 모델3,테슬라,638
